SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,"VOLUME
(shares)","VALUE
(₹ Lakhs)",52W H,52W L,TODAY,Column-13,Column-14,Column-15,Column-16,Column-17,Column-18,Column-19,Column-20,Column-21,Column-22,Column-23,Column-24
NIFTY 50,"17,322.30","17,348.55","17,251.40","17,014.35","17,286.50",272.15,1.60,"13,20,26,891","10,46,056.48","18,604.45","15,183.40",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-6.32,,-5.84
INFY,"1,485.00","1,494.00","1,467.25","1,419.90","1,489.80",69.90,4.92,"1,05,23,457","1,55,967.10","1,953.90","1,355.00",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-16.93,,-8.09
UPL,674.00,686.70,672.00,663.90,685.30,21.40,3.22,"10,65,034","7,247.66",848.00,607.50,,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-11.18,,-12.15
HDFCBANK,"1,417.00","1,446.00","1,415.25","1,393.60","1,438.15",44.55,3.20,"39,54,022","56,595.10","1,725.00","1,271.60",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-14.99,,-7.90
HDFC,"2,305.00","2,359.00","2,305.00","2,283.25","2,347.75",64.50,2.82,"23,67,154","55,283.22","3,021.10","2,026.00",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-17.44,,-6.86
TECHM,"1,035.00","1,049.90","1,027.05","1,012.95","1,038.90",25.95,2.56,"24,11,793","25,101.94","1,838.00",943.70,,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-27.76,,-11.72
KOTAKBANK,"1,828.00","1,858.00","1,822.50","1,801.50","1,847.20",45.70,2.54,"10,39,417","19,138.16","2,253.00","1,631.00",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-10.34,,-6.34
LT,"1,900.00","1,936.75","1,898.45","1,876.15","1,922.30",46.15,2.46,"10,90,373","20,986.63","2,078.55","1,456.35",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,7.08,,-5.79
HCLTECH,"1,005.00","1,023.00",999.20,982.10,"1,005.50",23.40,2.38,"51,99,466","52,776.14","1,359.40",877.35,,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-22.39,,2.79
ICICIBANK,883.80,883.80,869.00,853.60,869.95,16.35,1.92,"41,26,103","36,037.80",936.65,642.15,,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,20.23,,-6.20
GRASIM,"1,699.00","1,712.00","1,688.00","1,679.75","1,710.40",30.65,1.82,"3,01,887","5,135.85","1,929.80","1,276.60",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,0.16,,-6.14
DIVISLAB,"3,545.85","3,584.50","3,541.05","3,523.85","3,581.85",58.00,1.65,"1,67,009","5,956.38","5,425.10","3,365.55",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-32.86,,-3.92
BAJFINANCE,"7,300.00","7,345.00","7,221.00","7,151.65","7,267.95",116.30,1.63,"4,84,015","35,201.49","8,050.00","5,220.00",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-9.81,,-3.40
TITAN,"2,640.00","2,663.60","2,622.60","2,598.65","2,638.25",39.60,1.52,"7,48,073","19,803.89","2,768.00","1,825.05",,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,2.42,,-3.95
ITC,332.30,333.90,330.85,328.65,333.25,4.60,1.40,"36,37,941","12,093.61",349.55,207.00,,13-Oct-2021,13-Oct-2021,13-Sep-2022,13-Sep-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,31.88,,-1.72
