SYMBOL,OPEN,HIGH,LOW,LTP,CHNG,%CHNG,"VOLUME
(shares)"
NIFTY 50,"17,322.30","17,348.55","17,251.40","17,286.50",272.15,1.60,"13,20,26,891"
INFY,"1,485.00","1,494.00","1,467.25","1,489.80",69.90,4.92,"1,05,23,457"
UPL,674.00,686.70,672.00,685.30,21.40,3.22,"10,65,034"
HDFCBANK,"1,417.00","1,446.00","1,415.25","1,438.15",44.55,3.20,"39,54,022"
HDFC,"2,305.00","2,359.00","2,305.00","2,347.75",64.50,2.82,"23,67,154"
TECHM,"1,035.00","1,049.90","1,027.05","1,038.90",25.95,2.56,"24,11,793"
KOTAKBANK,"1,828.00","1,858.00","1,822.50","1,847.20",45.70,2.54,"10,39,417"
LT,"1,900.00","1,936.75","1,898.45","1,922.30",46.15,2.46,"10,90,373"
HCLTECH,"1,005.00","1,023.00",999.20,"1,005.50",23.40,2.38,"51,99,466"
ICICIBANK,883.80,883.80,869.00,869.95,16.35,1.92,"41,26,103"
GRASIM,"1,699.00","1,712.00","1,688.00","1,710.40",30.65,1.82,"3,01,887"
DIVISLAB,"3,545.85","3,584.50","3,541.05","3,581.85",58.00,1.65,"1,67,009"
BAJFINANCE,"7,300.00","7,345.00","7,221.00","7,267.95",116.30,1.63,"4,84,015"
TITAN,"2,640.00","2,663.60","2,622.60","2,638.25",39.60,1.52,"7,48,073"
ITC,332.30,333.90,330.85,333.25,4.60,1.40,"36,37,941"
DRREDDY,"4,305.00","4,314.95","4,263.05","4,310.00",55.35,1.30,"66,968"
TATACONSUM,768.95,768.95,760.50,767.00,9.60,1.27,"6,23,367"
HDFCLIFE,534.40,534.40,522.90,526.75,6.10,1.17,"14,03,804"
SBIN,530.20,534.85,526.50,527.40,5.95,1.14,"55,19,797"
CIPLA,"1,115.10","1,117.50","1,106.90","1,116.00",12.35,1.12,"5,44,267"
NESTLEIND,"18,958.85","19,013.75","18,851.45","18,959.85",196.20,1.05,"7,814"
WIPRO,387.00,387.50,381.40,382.70,3.60,0.95,"76,66,707"
NTPC,166.25,167.50,166.15,166.30,1.55,0.94,"53,06,955"
SBILIFE,"1,201.00","1,217.05","1,197.00","1,199.00",11.10,0.93,"3,19,703"
COALINDIA,238.95,238.95,235.35,236.70,2.15,0.92,"41,11,400"
TATASTEEL,101.85,102.80,100.85,101.00,0.90,0.90,"1,93,64,110"
HINDUNILVR,"2,590.00","2,624.90","2,585.00","2,589.45",23.05,0.90,"5,58,954"
EICHERMOT,"3,544.65","3,554.90","3,501.00","3,502.10",30.90,0.89,"2,40,714"
TATAMOTORS,407.00,409.20,402.00,402.55,3.55,0.89,"68,60,020"
BAJAJFINSV,"1,709.00","1,709.00","1,688.65","1,696.00",14.25,0.85,"7,65,389"
SUNPHARMA,976.00,977.25,964.00,975.85,7.45,0.77,"21,51,434"
BHARTIARTL,779.95,779.95,771.20,774.55,5.65,0.73,"21,70,438"
HINDALCO,411.25,411.25,404.25,404.50,2.95,0.73,"35,09,249"
ADANIPORTS,804.00,806.60,789.20,790.00,5.25,0.67,"22,55,787"
TCS,"3,145.00","3,150.00","3,120.20","3,121.80",18.50,0.60,"11,92,772"
RELIANCE,"2,415.00","2,416.35","2,392.55","2,396.90",14.10,0.59,"22,06,868"
APOLLOHOSP,"4,301.00","4,324.00","4,264.05","4,288.35",22.30,0.52,"1,35,730"
BPCL,303.00,305.00,301.20,301.80,1.50,0.50,"12,03,074"
AXISBANK,815.55,820.70,805.35,805.95,3.95,0.49,"42,68,879"
ADANIENT,"3,272.00","3,305.00","3,236.05","3,247.80",14.15,0.44,"7,47,164"
MARUTI,"8,760.00","8,766.60","8,650.00","8,684.80",35.25,0.41,"1,62,618"
INDUSINDBK,"1,201.25","1,216.35","1,187.50","1,188.10",3.85,0.33,"15,04,343"
BRITANNIA,"3,800.10","3,814.90","3,781.00","3,792.95",8.35,0.22,"1,96,823"
ASIANPAINT,"3,235.00","3,246.00","3,211.50","3,215.00",6.00,0.19,"4,17,660"
BAJAJ-AUTO,"3,659.95","3,663.00","3,609.70","3,609.70",4.90,0.14,"3,10,333"
ULTRACEMCO,"6,260.00","6,260.00","6,181.00","6,190.00",8.25,0.13,"1,10,044"
HEROMOTOCO,"2,575.50","2,585.00","2,546.65","2,549.15",2.70,0.11,"1,50,175"
ONGC,132.00,132.80,129.00,129.90,0.05,0.04,"73,88,565"
M&M,"1,267.75","1,272.00","1,242.05","1,243.50",-4.70,-0.38,"9,89,885"
JSWSTEEL,658.00,659.50,644.00,644.10,-4.25,-0.66,"7,00,860"
POWERGRID,218.00,218.00,212.40,212.40,-1.55,-0.72,"97,78,477"
